ind,key,docs,classification,class,category_map,real_cat,label,scores,real_final,pred_final
1,URLConnection_getRequestProperties,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
4,URLConnection_setDefaultUseCaches,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",sink,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
5,SQLiteDatabase_rawQuery,exposes methods to manage a sql lite database,source,SQLiteDatabase,database,database,database information,0.5022838115692139,database,database
9,AudioManager_getRingerMode,audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.5372056365013123,audio,audio
12,ServerSocket_getLocalSocketAddress,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.5271661281585693,network,network
13,DatagramSocket_getBroadcast,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
14,HttpURLConnection_getFollowRedirects,a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.433342307806015,network,network
15,MediaPlayer_setSurface,media player class can be used to control playback of audio/video files and streams,sink,MediaPlayer,log,media,media,0.32381635904312134,media,media
17,HttpURLConnection_getInstanceFollowRedirects,a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.433342307806015,network,network
19,IsoDep_setTimeout,provides access to iso dep  properties and i/ o operations on a tag,sink,IsoDep,nfc communication,nfc communication,media,0.11158380657434464,nfc,media
23,IsoDep_getTag,provides access to iso dep  properties and i/ o operations on a tag,source,IsoDep,nfc information,nfc communication,media,0.11158380657434464,nfc,media
24,AudioManager_isMicrophoneMute,audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.5372056365013123,audio,audio
31,SQLiteProgram_bindNull,a base class for compiled sql lite programs,sink,SQLiteProgram,no category,database,database information,0.45033639669418335,database,database
32,AudioManager_getMode,audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.5372056365013123,audio,audio
33,BassBoost_setProperties,bass boost is an audio effect to boost or amplify low frequencies of the sound  it is comparable to a simple equalizer but limited to one band amplification in the low frequency range,sink,BassBoost,audio,audio,audio information,0.7661669850349426,audio,audio
34,AudioManager_setBluetoothScoOn,audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.5372056365013123,audio,audio
37,AccountManager_addAccountExplicitly,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
38,NfcF_get,provides access to nfc f  properties and i/ o operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.3207698166370392,nfc,nfc
39,AudioTrack_getState,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
48,MediaPlayer_addTimedTextSource,media player class can be used to control playback of audio/video files and streams,sink,MediaPlayer,files,media,media,0.32381635904312134,media,media
58,Log_w,api for sending log output,sink,Log,log,log,logging,0.4664452075958252,log,log
60,CalendarView_getMinDate,this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information,calendar information,calendar information,0.9322941303253174,calendar,calendar
65,SSLParameters_getCipherSuites,"encapsulates parameters for an ssl/ tls connection  the parameters are the list of ciphersuites to be accepted in an ssl/ tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl/ tls handshaking, the server name indication , the algorithm constraints and whether ssl/ tls servers should request or require client authentication, etc",source,SSLParameters,network information,network connection,network information,0.3124198019504547,network,network
69,ServerSocket_setPerformancePreferences,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category,network connection,network connection,0.5271661281585693,network,network
72,WifiP2pManager_removeGroup,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
74,AccessibilityService_performGlobalAction,"accessibility services should only be used to assist users with disabilities in using android devices and apps  they run in the background and receive callbacks by the system when accessibility events are fired  such events denote some state transition in the user interface, for example, the focus has changed, a button has been clicked, etc  such a service can optionally request the capability for querying the content of the active window  development of an accessibility service requires extending this class and implementing its abstract methods",sink,AccessibilityService,log,system settings,media,0.16663402318954468,system settings,media
78,DatagramSocket_getRemoteSocketAddress,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
80,AccountManager_getPassword,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
83,LocationManager_addNmeaListener,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",sink,LocationManager,geolocation,geolocation,geographical location,0.26633143424987793,geolocation,geolocation
90,SmsManager_divideMessage,"manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",source,SmsManager,network information,text message,text message,0.19001959264278412,text message,text message
95,BluetoothHeadset_startVoiceRecognition,public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles,sink,BluetoothHeadset,bluetooth,bluetooth,bluetooth,0.430423378944397,bluetooth,bluetooth
102,NfcA_setTimeout,provides access to nfc a  properties and i/ o operations on a tag,sink,NfcA,nfc communication,nfc communication,nfc information,0.31828224658966064,nfc,nfc
107,ServerSocket_getLocalPort,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.5271661281585693,network,network
115,MediaMetadataRetriever_getFrameAtTime,media metadata retriever class provides a unified interface for retrieving frame and meta data from an input media file,source,MediaMetadataRetriever,no category,media,media information,0.2981867790222168,media,media
117,AttributesImpl_getURI,default implementation of the attributes interface,source,AttributesImpl,files,files,nfc information,0.17723190784454346,files,nfc
120,DatagramSocket_bind,this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
121,AccountManager_getAuthenticatorTypes,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
