key,class_name,class_description
Visualizer_setMeasurementMode,visualizer,"the visualizer class enables application to retrieve part of the currently playing audio for visualization purpose. it is not an audio recording interface and only returns partial and low quality audio content. however, to protect privacy of certain audio data (e.g voice mail) the use of the visualizer requires the permission android.permission.record_audio."
NetworkInterface_isLoopback,network interface,"this class represents a network interface made up of a name, and a list of ip addresses assigned to this interface. it is used to identify the local interface on which a multicast group is joined. interfaces are normally known by names such as ""le0""."
Security_addProvider,security,
UiAutomation_injectInputEvent,ui automation,class for interacting with the device's ui by simulation user actions and introspection of the screen content. it relies on the platform accessibility apis to introspect the screen and to perform some actions on the remote view tree. it also allows injecting of arbitrary raw input events simulating user interaction with keyboards and touch devices. one can think of a uiautomation as a special type of accessibilityservice which does not provide hooks for the service life cycle and exposes other apis that are useful for ui test automation.
SQLiteDatabase_replaceOrThrow,sqlite database,exposes methods to manage a sqlite database.
BackupHelper_restoreEntity,backup helper,defines the calling interface that backupagenthelper uses when dispatching backup and restore operations to the installed helpers. applications can define and install their own helpers as well as using those provided as part of the android framework.
WebSettings_setDatabaseEnabled,web settings,"manages settings state for a webview. when a webview is first created, it obtains a set of default settings. these default settings will be returned from any getter call. a websettings object obtained from webview#getsettings() is tied to the life of the webview. if a webview has been destroyed, any method call on websettings will throw an illegalstateexception."
URLConnection_getRequestProperties,url connection,"the abstract class urlconnection is the superclass of all classes that represent a communications link between the application and a url. instances of this class can be used both to read from and to write to the resource referenced by the url. in general, creating a connection to a url is a multistep process:"
ObjectOutputStream_writeLong,object output stream,"an objectoutputstream writes primitive data types and graphs of java objects to an outputstream.  the objects can be read (reconstituted) using an objectinputstream.  persistent storage of objects can be accomplished by using a file for the stream.  if the stream is a network socket stream, the objects can be reconstituted on another host or in another process."
MockContext_enforcePermission,mock context,"a mock context class.  all methods are non functional and throw unsupportedoperationexception.  you can use this to inject other dependencies, mocks, or monitors into the classes you are testing."
NinePatch_draw,nine patch,"the ninepatch class permits drawing a bitmap in nine or more sections. essentially, it allows the creation of custom graphics that will scale the way that you define, when content added within the image exceeds the normal bounds of the graphic. for a thorough explanation of a ninepatch image, read the discussion in the 2d graphics document."
SslError_getCertificate,ssl error,this class represents a set of one or more ssl errors and the associated ssl certificate.
Timer_schedule,timer,"a facility for threads to schedule tasks for future execution in a background thread.  tasks may be scheduled for one time execution, or for repeated execution at regular intervals."
RowSet_setRowId,row set,"the interface that adds support to the jdbc api for the javabeanstm component model. a rowset, which can be used as a javabeans component in a visual bean development environment, can be created and configured at design time and executed at run time."
TrustAnchor_getCAName,trust anchor,a trust anchor or most trusted certification authority (ca).
Driver_jdbcCompliant,driver,the interface that every driver class must implement.
CharBuffer_equals,char buffer,a char buffer.
SimpleDateFormat_clone,simple date format,"[icu enhancement] icu's replacement for simpledateformat. methods, fields, and other functionality specific to icu are labeled '[icu]'."
Socket_setReceiveBufferSize,socket,"this class implements client sockets (also called just ""sockets""). a socket is an endpoint for communication between two machines."
ProxySelector_getDefault,proxy selector,"selects the proxy server to use, if any, when connecting to the network resource referenced by a url. a proxy selector is a concrete sub class of this class and is registered by invoking the setdefault method. the currently registered proxy selector can be retrieved by calling getdefault method."
Document_createCDATASection,document,"the document interface represents the entire html or xml document. conceptually, it is the root of the document tree, and provides the primary access to the document's data."
EGLConfig_equals,egl config,wrapper class for native eglconfig objects.
DatagramChannel_open,datagram channel,a selectable channel for datagram oriented sockets.
ViewAnimator_removeView,view animator,base class for a framelayout container that will perform animations when switching between its views.
CallableStatement_setTimestamp,callable statement,"the interface used to execute sql stored procedures.  the jdbc api provides a stored procedure sql escape syntax that allows stored procedures to be called in a standard way for all rdbmss. this escape syntax has one form that includes a result parameter and one that does not. if used, the result parameter must be registered as an out parameter. the other parameters can be used for input, output or both. parameters are referred to sequentially, by number, with the first parameter being 1."
MockResources_getXml,mock resources,
KeyFactory_getProvider,key factory,"key factories are used to convert keys (opaque cryptographic keys of type key) into key specifications (transparent representations of the underlying key material), and vice versa."
DatabaseMetaData_getMaxIndexLength,database meta data,comprehensive information about the database as a whole.
Thread_getId,thread,a thread is a thread of execution in a program. the java virtual machine allows an application to have multiple threads of execution running concurrently.
HttpResponseCache_getInstalled,http response cache,"caches http and https responses to the filesystem so they may be reused, saving time and bandwidth. this class supports httpurlconnection and httpsurlconnection; there is no platform provided cache for defaulthttpclient or androidhttpclient. installation and instances are thread safe."
KeyPairGeneratorSpec_getKeySize,key pair generator spec,
BassBoost_getRoundedStrength,bass boost,bass boost is an audio effect to boost or amplify low frequencies of the sound. it is comparable to a simple equalizer but limited to one band amplification in the low frequency range.
XPath_getXPathVariableResolver,x path,
Array_newInstance,array,the array class provides static methods to dynamically create and access java arrays.
ImageView_jumpDrawablesToCurrentState,image view,
Filterable_getFilter,filterable,
BitmapRegionDecoder_getHeight,bitmap region decoder,bitmapregiondecoder can be used to decode a rectangle region from an image. bitmapregiondecoder is particularly useful when an original image is large and you only need parts of the image.
Cipher_init,cipher,this class provides the functionality of a cryptographic cipher for encryption and decryption. it forms the core of the java cryptographic extension (jce) framework.
ResultSet_last,result set,"a table of data representing a database result set, which is usually generated by executing a statement that queries the database."
InflaterInputStream_available,inflater input stream,"this class implements a stream filter for uncompressing data in the ""deflate"" compression format. it is also used as the basis for other decompression filters, such as gzipinputstream."
Attr_getSpecified,attr,the attr interface represents an attribute in an element object. typically the allowable values for the attribute are defined in a schema associated with the document.
AudioManager_getRingerMode,audio manager,audiomanager provides access to volume and ringer mode control.
Handler_flush,handler,"a handler object takes log messages from a logger and exports them.  it might for example, write them to a console or write them to a file, or send them to a network logging service, or forward them to an os log, or whatever."
PreferenceActivity_onHeaderClick,preference activity,
XMLGregorianCalendar_setHour,xml gregorian calendar,
StreamResult_getOutputStream,stream result,
WallpaperManager_getBuiltInDrawable,wallpaper manager,"provides access to the system wallpaper. with wallpapermanager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more."
SearchView_setQueryRefinementEnabled,search view,"a widget that provides a user interface for the user to enter a search query and submit a request to a search provider. shows a list of query suggestions or results, if available, and allows the user to pick a suggestion or result to launch into."
HttpCookie_setPath,http cookie,"an httpcookie object represents an http cookie, which carries state information between server and user agent. cookie is widely adopted to create stateful sessions."
InetAddress_isMCNodeLocal,inet address,this class represents an internet protocol (ip) address.
NoiseSuppressor_create,noise suppressor,noise suppressor (ns).
BluetoothGattServer_getDevicesMatchingConnectionStates,bluetooth gatt server,public api for the bluetooth gatt profile server role.
WebChromeClient_getDefaultVideoPoster,web chrome client,a callback interface used by the host application to notify the current page that its custom view has been dismissed.
Modifier_interfaceModifiers,modifier,"the modifier class provides static methods and constants to decode class and member access modifiers.  the sets of modifiers are represented as integers with distinct bit positions representing different modifiers.  the values for the constants representing the modifiers are taken from the tables in sections 4.1, 4.4, 4.5, and 4.7 of the java™ virtual machine specification."
Path_moveTo,path,"the path class encapsulates compound (multiple contour) geometric paths consisting of straight line segments, quadratic curves, and cubic curves. it can be drawn with canvas.drawpath(path, paint), either filled or stroked (based on the paint's style), or it can be used for clipping or to draw text on a path."
Scanner_locale,scanner,a simple text scanner which can parse primitive types and strings using regular expressions.
TextSwitcher_addView,text switcher,"specialized viewswitcher that contains only children of type textview. a textswitcher is useful to animate a label on screen. whenever settext(java.lang.charsequence) is called, textswitcher animates the current text out and animates the new text in."
X509Certificate_getNotAfter,x509 certificate,
DeviceAdminReceiver_onPasswordFailed,device admin receiver,base class for implementing a device administration component.  this class provides a convenience for interpreting the raw intent actions that are sent by the system.
Principal_getName,principal,this class represents an x.500 principal.
PreparedStatement_executeQuery,prepared statement,an object that represents a precompiled sql statement.
Bidi_baseIsLeftToRight,bidi,
ScriptIntrinsicBlend_forEachAdd,script intrinsic blend,
TabActivity_onContentChanged,tab activity,
DSAPublicKeySpec_getY,dsa public key spec,this class specifies a dsa public key with its associated parameters.
RowSetMetaData_setAutoIncrement,row set meta data,"an object that contains information about the columns in a rowset object.  this interface is an extension of the resultsetmetadata interface with methods for setting the values in a rowsetmetadata object. when a rowsetreader object reads data into a rowset object, it creates a rowsetmetadata object and initializes it using the methods in the rowsetmetadata interface.  then the reader passes the rowsetmetadata object to the rowset."
TimeZone_setID,time zone,"[icu enhancement] icu's replacement for timezone. methods, fields, and other functionality specific to icu are labeled '[icu]'."
AppWidgetProvider_onEnabled,app widget provider,"a convenience class to aid in implementing an appwidget provider. everything you can do with appwidgetprovider, you can do with a regular broadcastreceiver. appwidgetprovider merely parses the relevant fields out of the intent that is received in onreceive(context,intent), and calls hook methods with the received extras."
SSLEngine_getDelegatedTask,ssl engine,"a class which enables secure communications using protocols such as the secure sockets layer (ssl) or  ietf rfc 2246 ""transport layer security"" (tls)  protocols, but is transport independent."
DoubleBuffer_duplicate,double buffer,a double buffer.
NumberFormat_parse,number format,"[icu enhancement] icu's replacement for numberformat. methods, fields, and other functionality specific to icu are labeled '[icu]'."
AbstractQueuedLongSynchronizer_release,abstract queued long synchronizer,"a version of abstractqueuedsynchronizer in which synchronization state is maintained as a long. this class has exactly the same structure, properties, and methods as abstractqueuedsynchronizer with the exception that all state related parameters and results are defined as long rather than int. this class may be useful when creating synchronizers such as multilevel locks and barriers that require 64 bits of state."
AttributeListImpl_getName,attribute list impl,
TextToSpeech_setSpeechRate,text to speech,synthesizes speech from text for immediate playback or to create a sound file.
ViewParent_recomputeViewAttributes,view parent,"displays a vertically scrollable collection of views, where each view is positioned immediatelybelow the previous view in the list."
X509CertSelector_getExtendedKeyUsage,x509 cert selector,a certselector that selects x509certificates that match all specified criteria. this class is particularly useful when selecting certificates from a certstore to build a pkix compliant certification path.
ExecutorService_shutdown,executor service,an executor that provides methods to manage termination and methods that can produce a future for tracking progress of one or more asynchronous tasks.
Cursor_moveToLast,cursor,this interface provides random read write access to the result set returned by a database query.
BoringLayout_getLineContainsTab,boring layout,"a boringlayout is a very simple layout implementation for text that fits on a single line and is all left to right characters. you will probably never want to make one of these yourself; if you do, be sure to call isboring(charsequence, textpaint) first to make sure the text meets the criteria."
LexicalHandler_comment,lexical handler,sax2 extension handler for lexical events.
LogRecord_setSourceMethodName,log record,logrecord objects are used to pass logging requests between the logging framework and individual log handlers.
SelectableChannel_isBlocking,selectable channel,a channel that can be multiplexed via a selector.
Savepoint_getSavepointName,savepoint,"the representation of a savepoint, which is a point within the current transaction that can be referenced from the connection.rollback method. when a transaction is rolled back to a savepoint all changes made after that savepoint are undone."
NfcV_transceive,nfc v,provides access to nfc v (iso 15693) properties and i/o operations on a tag.
PdfDocument_writeTo,pdf document,
ServerSocket_getLocalSocketAddress,server socket,"this class implements server sockets. a server socket waits for requests to come in over the network. it performs some operation based on that request, and then possibly returns a result to the requester."
DialogInterface_cancel,dialog interface,"interface that defines a dialog type class that can be shown, dismissed, or canceled, and may have buttons that can be clicked."
DTDHandler_unparsedEntityDecl,d t d handler,receive notification of basic dtd related events.
MtpDevice_getObjectHandles,mtp device,"this class represents an mtp or ptp device connected on the usb host bus. an application can instantiate an object of this type, by referencing an attached usbdevice and then use methods in this class to get information about the device and objects stored on it, as well as open the connection and transfer data."
PushbackReader_read,pushback reader,a character stream reader that allows characters to be pushed back into the stream.
SSLContext_init,ssl context,instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or sslengines. this class is initialized with an optional set of key and trust managers and source of secure random bytes.
DatagramSocket_getBroadcast,datagram socket,this class represents a socket for sending and receiving datagram packets.
RowSetListener_rowChanged,row set listener,an interface that must be implemented by a component that wants to be notified when a significant event happens in the life of a rowset object. a component becomes a listener by being registered with a rowset object via the method rowset.addrowsetlistener. how a registered component implements this interface determines what it does when it is notified of an event.
X509CRLSelector_getIssuers,x509 crl selector,a crlselector that selects x509crls that match all specified criteria. this class is particularly useful when selecting crls from a certstore to check revocation status of a particular certificate.
HttpURLConnection_getFollowRedirects,http url connection,a urlconnection with support for http specific features. see  the spec  for details.
LocatorImpl_getColumnNumber,locator impl,provide an optional convenience implementation of locator.
Animatable_isRunning,animatable,interface that drawables supporting animations should implement.
Base64InputStream_skip,base64 input stream,an inputstream that does base64 decoding on the data read through it.
MediaPlayer_setSurface,media player,mediaplayer class can be used to control playback of audio/video files and streams.
LoggingMXBean_getLoggerNames,logging m x bean,the management interface for the logging facility.
InputFilter_filter,input filter,
XMLReader_setContentHandler,xml reader,interface for reading an xml document using callbacks.
MtpObjectInfo_getThumbCompressedSize,mtp object info,this class encapsulates information about an object on an mtp device. this corresponds to the objectinfo dataset described in section 5.3.1 of the mtp specification.
SoundPool_setLoop,sound pool,the soundpool class manages and plays audio resources for applications.
Inflater_getRemaining,inflater,this class provides support for general purpose decompression using the popular zlib compression library. the zlib compression library was initially developed as part of the png graphics standard and is not protected by patents. it is fully described in the specifications at the java.util.zip package description.
Camera_startSmoothZoom,camera,
Animation_setRepeatMode,animation,"abstraction for an animation that can be applied to views, surfaces, or other objects. see the animation package description file."
ExpandableListActivity_getExpandableListAdapter,expandable list activity,
SAXResult_setLexicalHandler,s a x result,
Executor_execute,executor,"an object that executes submitted runnable tasks. this interface provides a way of decoupling task submission from the mechanics of how each task will be run, including details of thread use, scheduling, etc.  an executor is normally used instead of explicitly creating threads. for example, rather than invoking new thread(new runnabletask()).start() for each of a set of tasks, you might use:"
RowSetInternal_getOriginal,row set internal,the interface that a rowset object implements in order to present itself to a rowsetreader or rowsetwriter object. the rowsetinternal interface contains methods that let the reader or writer access and modify the internal state of the rowset.
ByteBuffer_compareTo,byte buffer,a byte buffer.
Math_exp,math,"the class math contains methods for performing basic numeric operations such as the elementary exponential, logarithm, square root, and trigonometric functions."
Statement_getConnection,statement,
CharsetEncoder_maxBytesPerChar,charset encoder,an engine that can transform a sequence of sixteen bit unicode characters into a sequence of bytes in a specific charset.
StaticLayout_getLineForVertical,static layout,staticlayout is a layout for text that will not be edited after it is laid out.  use dynamiclayout for text that may change.
Animator_removeListener,animator,"this is the superclass for classes which provide basic support for animations which can be started, ended, and have animatorlisteners added to them."
LSParserFilter_startElement,l s parser filter,"lsparserfilters provide applications the ability to examine nodes as they are being constructed while parsing. as each node is examined, it may be modified or removed, or the entire parse may be terminated early."
Field_getBoolean,field,"a field provides information about, and dynamic access to, a single field of a class or an interface.  the reflected field may be a class (static) field or an instance field."
DreamService_dispatchPopulateAccessibilityEvent,dream service,"extend this class to implement a custom dream (available to the user as a ""daydream"")."
AbstractExecutorService_submit,abstract executor service,"provides default implementations of executorservice execution methods. this class implements the submit, invokeany and invokeall methods using a runnablefuture returned by newtaskfor, which defaults to the futuretask class provided in this package.  for example, the implementation of submit(runnable) creates an associated runnablefuture that is executed and returned. subclasses may override the newtaskfor methods to return runnablefuture implementations other than futuretask."
IsoDep_setTimeout,iso dep,provides access to iso dep (iso 14443 4) properties and i/o operations on a tag.
Matrix_invertM,matrix,matrix math utilities. these methods operate on opengl es format matrices and vectors stored in float arrays.
ViewAsserts_assertBottomAligned,view asserts,
MockCursor_respond,mock cursor,
DexFile_loadClass,dex file,
InvocationTargetException_getTargetException,invocation target exception,invocationtargetexception is a checked exception that wraps an exception thrown by an invoked method or constructor.
AbstractQueuedSynchronizer_hasContended,abstract queued synchronizer,"provides a framework for implementing blocking locks and related synchronizers (semaphores, events, etc) that rely on first in first out (fifo) wait queues.  this class is designed to be a useful basis for most kinds of synchronizers that rely on a single atomic int value to represent state. subclasses must define the protected methods that change this state, and which define what that state means in terms of this object being acquired or released.  given these, the other methods in this class carry out all queuing and blocking mechanics. subclasses can maintain other state fields, but only the atomically updated int value manipulated using methods getstate(), setstate(int) and compareandsetstate(int, int) is tracked with respect to synchronization."
Scroller_getCurrY,scroller,
X509TrustManager_checkClientTrusted,x509 trust manager,"instance of this interface manage which x509 certificates may be used to authenticate the remote side of a secure socket. decisions may be based on trusted certificate authorities, certificate revocation lists, online status checking or other means."
StatementEvent_getSQLException,statement event,a statementevent is sent to all statementeventlisteners which were registered with a pooledconnection. this occurs when the driver determines that a preparedstatement that is associated with the pooledconnection has been closed or the driver determines is invalid.
ConnectionPoolDataSource_getPooledConnection,connection pool data source,a factory for pooledconnection objects.  an object that implements this interface will typically be registered with a naming service that is based on the javatm naming and directory interface (jndi).
IntBuffer_duplicate,int buffer,an int buffer.
SettingInjectorService_onBind,setting injector service,dynamically specifies the summary (subtitle) and enabled status of a preference injected into the list of app settings displayed by the system settings app
DateFormat_clone,date format,"[icu enhancement] icu's replacement for dateformat. methods, fields, and other functionality specific to icu are labeled '[icu]'."
AbstractInputMethodService_onTrackballEvent,abstract input method service,"abstractinputmethodservice provides a abstract base class for input methods. normal input method implementations will not derive from this directly, instead building on top of inputmethodservice or another more complete base class.  be sure to read inputmethod for more information on the basics of writing input methods."
PropertyResourceBundle_getKeys,property resource bundle,propertyresourcebundle is a concrete subclass of resourcebundle that manages resources for a locale using a set of static strings from a property file. see resourcebundle for more information about resource bundles.
Connection_clearWarnings,connection,
DocumentType_getName,document type,"each document has a doctype attribute whose value is either null or a documenttype object. the documenttype interface in the dom core provides an interface to the list of entities that are defined for the document, and little else because the effect of namespaces and the various xml schema efforts on dtd representation are not clearly understood as of this writing."
NfcB_getMaxTransceiveLength,nfc b,provides access to nfc b (iso 14443 3b) properties and i/o operations on a tag.
Blob_truncate,blob,"the representation (mapping) in the javatm programming language of an sql blob value.  an sql blob is a built in type that stores a binary large object as a column value in a row of a database table. by default drivers implement blob using an sql locator(blob), which means that a blob object contains a logical pointer to the sql blob data rather than the data itself. a blob object is valid for the duration of the transaction in which is was created."
TimingLogger_dumpToLog,timing logger,
EnvironmentalReverb_getDecayTime,environmental reverb,"a sound generated within a room travels in many directions. the listener first hears the direct sound from the source itself. later, he or she hears discrete echoes caused by sound bouncing off nearby walls, the ceiling and the floor. as sound waves arrive after undergoing more and more reflections, individual reflections become indistinguishable and the listener hears continuous reverberation that decays over time. reverb is vital for modeling a listener's environment. it can be used in music applications to simulate music being played back in various environments, or in games to immerse the listener within the game's environment. the environmentalreverb class allows an application to control each reverb engine property in a global reverb environment and is more suitable for games. for basic control, more suitable for music applications, it is recommended to use the presetreverb class."
BackupAgentHelper_addHelper,backup agent helper,"a convenient backupagent wrapper class that automatically manages heterogeneous data sets within the backup data, each identified by a unique key prefix.  when processing a backup or restore operation, the backupagenthelper dispatches to one or more installed backuphelper objects, each of which is responsible for a defined subset of the data being processed."
SimpleCursorAdapter_setViewBinder,simple cursor adapter,"an easy adapter to map columns from a cursor to textviews or imageviews defined in an xml file. you can specify which columns you want, which views you want to display the columns, and the xml file that defines the appearance of these views. binding occurs in two phases. first, if a simplecursoradapter.viewbinder is available, viewbinder#setviewvalue(android.view.view, android.database.cursor, int) is invoked. if the returned value is true, binding has occured. if the returned value is false and the view to bind is a textview, setviewtext(android.widget.textview, java.lang.string) is invoked. if the returned value is false and the view to bind is an imageview, setviewimage(android.widget.imageview, java.lang.string) is invoked. if no appropriate binding can be found, an illegalstateexception is thrown. if this adapter is used with filtering, for instance in an autocompletetextview, you can use the simplecursoradapter.cursortostringconverter and the filterqueryprovider interfaces to get control over the filtering process. you can refer to converttostring(android.database.cursor) and cursoradapter.runqueryonbackgroundthread(java.lang.charsequence) for more information."
ScaleGestureDetector_getCurrentSpanX,scale gesture detector,detects scaling transformation gestures using the supplied motionevents. the onscalegesturelistener callback will notify users when a particular gesture event has occurred. this class should only be used with motionevents reported via touch. to use this class:
DecimalFormat_setGroupingSize,decimal format,"[icu enhancement] icu's replacement for decimalformat. methods, fields, and other functionality specific to icu are labeled '[icu]'."
Display_isValid,display,provides information about the size and density of a logical display.
Preference_setKey,preference,
ThreadGroup_isDestroyed,thread group,"a thread group represents a set of threads. in addition, a thread group can also include other thread groups. the thread groups form a tree in which every thread group except the initial thread group has a parent."
SparseLongArray_size,sparse long array,"sparselongarrays map integers to longs.  unlike a normal array of longs, there can be gaps in the indices.  it is intended to be more memory efficient than using a hashmap to map integers to longs, both because it avoids auto boxing keys and values and its data structure doesn't rely on an extra entry object for each mapping."
AbstractInterruptibleChannel_close,abstract interruptible channel,base implementation class for interruptible channels.
XMLFilterImpl_setFeature,xml filter impl,base class for deriving an xml filter.
ResponseCache_setDefault,response cache,"represents implementations of urlconnection caches. an instance of such a class can be registered with the system by doing responsecache.setdefault(responsecache), and the system will call this object in order to:"
MockDialogInterface_cancel,mock dialog interface,
AccessibilityRecord_getClassName,accessibility record,
Proxy_newProxyInstance,proxy,"proxy provides static methods for creating dynamic proxy classes and instances, and it is also the superclass of all dynamic proxy classes created by those methods."
MediaMuxer_setOrientationHint,media muxer,"mediamuxer facilitates muxing elementary streams. currently mediamuxer supports mp4, webm and 3gp file as the output. it also supports muxing b frames in mp4 since android nougat."
StreamSource_setPublicId,stream source,
AutoCompleteTextView_getDropDownWidth,auto complete text view,
